# gate_registry.tsv — every correctness/safety CHECK tool must be classified here.
# Columns: tool<TAB>status<TAB>reason
# status WIRED        = must be referenced by a test OR by a *.sh cut/release script (enforced).
# status OPERATOR_ONLY = intentionally run by hand; reason required (kept out of the cut on purpose).
# Adding a new check_/verify_/audit_/sync_/*_qa/*_check tool without a row here FAILS the meta-test.
sync_version	WIRED	version-sync gate: pytest + make_public_tier.sh
check_md_links	WIRED	portable Markdown link checker exercised by tests/test_check_md_links.py
patch_queue_composition_audit	WIRED	ordered composition audit covered by tests
verify_tier_derivation	WIRED	tier-derivation parity gate: make_public_tier.sh 3d
redact_public_tier	WIRED	leak redaction SSOT: pytest + cut
sapote_md_preflight	WIRED	markdown preflight: pytest + cut
audit_public_cut	WIRED	public-cut leak audit: pytest
audit_modeb_support_card	WIRED	Mode-B BLASTp support-card completeness audit: pytest (test_audit_modeb_support_card)
signoff_check	WIRED	FA4 analysis sign-off QC gate (advisory, exit 0 always): pytest (test_signoff_check)
check_antismash_profile	WIRED	antiSMASH profile guard: pytest
check_no_brace_paths	WIRED	brace-path guard: pytest
check_schema_drift	WIRED	schema-drift guard: pytest
evidence_conservation_audit	WIRED	evidence-conservation invariant: pytest
check_tier_parity	WIRED	cross-tier sameness check: release.sh (post-build, needs all 4 tier zips)
check_chatgpt_next_paths	OPERATOR_ONLY	ChatGPT handback QA helper; validates exactly-8 next-path blocks, run by operators/assistants rather than release build gate
assembly_qc_check	OPERATOR_ONLY	per-strain assembly QC; run during analysis, not a release invariant
check_deliverable_suite	OPERATOR_ONLY	operator deliverable spot-check; not part of the cut
mamey_package_qa_v2	OPERATOR_ONLY	package QA helper; superseded by wired gates for release
schema_deployed_audit	OPERATOR_ONLY	one-off deployed-schema diff; manual diagnostic
check_dangling_refs	WIRED	dangling examples/-ref guard + path-qualified strict scan (--strict-paths, G01): pytest tests/test_no_dangling_tool_paths_v97239.py
encyclopedia_reground_check	OPERATOR_ONLY	advisory doc-currency checker; run pre-cut by hand, not a build gate
cohort_scoring_version_gate	WIRED	COH-01: comparative-build engine-uniformity invariant — wired into mamey.cohort_deliverable (_check_engine_uniformity) before cross-strain aggregation; pytest (test_cohort_scoring_version_gate, test_cohort_deliverable)
